     9:-c1    B 1 1 b        B -2b            BMN$I2C060 
     9:-c2    A 1 1 n        A -2ac           AMN$I2C660 
     9:-c3    I 1 1 a        I -2a            IMN$I2C600  
    10:c      P 1 1 2/m     -P 2              PMC$I1A000$P2C000 
    11:c      P 1 1 21/m    -P 2c             PMC$I1A000$P2C006 
    12:c1     A 1 1 2/m     -A 2              AMC$I1A000$P2C000 
    12:c2     B 1 1 2/m     -B 2              BMC$I1A000$P2C000 
    12:c3     I 1 1 2/m     -I 2              IMC$I1A000$P2C000  
    13:c1     P 1 1 2/a     -P 2a             PMC$I1A000$P2C600 
    13:c2     P 1 1 2/n     -P 2ab            PMC$I1A000$P2C660 
    13:c3     P 1 1 2/b     -P 2b             PMC$I1A000$P2C060 
    14:c1     P 1 1 21/a    -P 2ac            PMC$I1A000$P2C606 
    14:c2     P 1 1 21/n    -P 2n             PMC$I1A000$P2C666 
    14:c3     P 1 1 21/b    -P 2bc            PMC$I1A000$P2C066  
    15:c1     A 1 1 2/a     -A 2a             AMC$I1A000$P2C600 
    15:c2     B 1 1 2/n     -B 2bc            BMC$I1A000$P2C660 
    15:c3     I 1 1 2/b     -I 2b             IMC$I1A000$P2C060
    15:-c1    B 1 1 2/b     -B 2b             BMC$I1A000$P2C060 
    15:-c2    A 1 1 2/n     -A 2ac            AMC$I1A000$P2C660 
    15:-c3    I 1 1 2/a     -I 2a             IMC$I1A000$P2C600
    16        P 2 2 2        P 2 2            PON$P2C000$P2A000        
    17        P 2 2 21       P 2c 2           PON$P2C006$P2A000        
    17:cab    P 21 2 2       P 2a 2a          PON$P2C600$P2A600        
    17:bca    P 2 21 2       P 2 2b           PON$P2C000$P2A060        
    18        P 21 21 2      P 2 2ab          PON$P2C000$P2A660        
    18:cab    P 2 21 21      P 2bc 2          PON$P2C066$P2A000        
    18:bca    P 21 2 21      P 2ac 2ac        PON$P2C606$P2A606        
    19        P 21 21 21     P 2ac 2ab        PON$P2C606$P2A660        
    20        C 2 2 21       C 2c 2           CON$P2C006$P2A000        
    20:cab    A 21 2 2       A 2a 2a          AON$P2C600$P2A600        
    20:bca    B 2 21 2       B 2 2b           BON$P2C000$P2A060        
    21        C 2 2 2        C 2 2            CON$P2C000$P2A000        
    21:cab    A 2 2 2        A 2 2            AON$P2C000$P2A000        
    21:bca    B 2 2 2        B 2 2            BON$P2C000$P2A000        
    22        F 2 2 2        F 2 2            FON$P2C000$P2A000        
    23        I 2 2 2        I 2 2            ION$P2C000$P2A000        
    24        I 21 21 21     I 2b 2c          ION$P2C060$P2A006        
    25        P m m 2        P 2 -2           PON$P2C000$I2A000        
    25:cab    P 2 m m        P -2 2           PON$I2C000$P2A000        
    25:bca    P m 2 m        P -2 -2          PON$I2C000$I2A000        
    26        P m c 21       P 2c -2          PON$P2C006$I2A000        
    26:ba-c   P c m 21       P 2c -2c         PON$P2C006$I2A006        
    26:cab    P 21 m a       P -2a 2a         PON$I2C600$P2A600        
    26:-cba   P 21 a m       P -2 2a          PON$I2C000$P2A600        
    26:bca    P b 21 m       P -2 -2b         PON$I2C000$I2A060        
    26:a-cb   P m 21 b       P -2b -2         PON$I2C060$I2A000        
    27        P c c 2        P 2 -2c          PON$P2C000$I2A006        
    27:cab    P 2 a a        P -2a 2          PON$I2C600$P2A000        
    27:bca    P b 2 b        P -2b -2b        PON$I2C060$I2A060        
    28        P m a 2        P 2 -2a          PON$P2C000$I2A600        
    28:ba-c   P b m 2        P 2 -2b          PON$P2C000$I2A060        
    28:cab    P 2 m b        P -2b 2          PON$I2C060$P2A000        
    28:-cba   P 2 c m        P -2c 2          PON$I2C006$P2A000        
    28:bca    P c 2 m        P -2c -2c        PON$I2C006$I2A006        
    28:a-cb   P m 2 a        P -2a -2a        PON$I2C600$I2A600        
    29        P c a 21       P 2c -2ac        PON$P2C006$I2A606        
    29:ba-c   P b c 21       P 2c -2b         PON$P2C006$I2A060        
    29:cab    P 21 a b       P -2b 2a         PON$I2C060$P2A600        
    29:-cba   P 21 c a       P -2ac 2a        PON$I2C606$P2A600        
